publication_title,plant_family,plant_genus,plant_species,plant_growth_form,plant_life_history,plant_geographic_source,insect_order,insect_family,insect_genus,insect_species,insect_sex,poly_or_mono,insect_geographic_source,insect_life_stage,study_design,paper_source,plant_status,insect_status,biocontrol_study,study_type,notes,plant_genus_species,insect_genus_species,response_measure,plant_organ_afflicted,response_type_or_metric,response_units,response_measure,error_type,response_c,error_c,n_c,response_t,error_t,n_t,hedges_d,var_hedges_d
indirect effects mediated by compensatory shoot growth on subsequent generations of a willow spittlebug,salicaceae,salix,sachalensis,tree,perennial,northern japan,hemiptera,aphrophoridae,aphrophora,pectoralis,unclear,,no clue,unclear,natural field study/survey,figure 2,native,,no,a,,salix_sachalensis,aphrophora_pectoralis,length,stem,length,m,x,sd,0.11234,0.024708551,5,0.15031,0.027391833,5,1.314773048,0.486431408
indirect effects mediated by compensatory shoot growth on subsequent generations of a willow spittlebug,salicaceae,salix,sachalensis,tree,perennial,northern japan,hemiptera,aphrophoridae,aphrophora,pectoralis,unclear,,no clue,unclear,natural field study/survey,figure 2,native,,no,a,,salix_sachalensis,aphrophora_pectoralis,number of,stem,length,m,x,sd,0.097,0.058898031,5,0.07442,0.053866878,5,-0.361363658,0.406529185
indirect effects mediated by compensatory shoot growth on subsequent generations of a willow spittlebug,salicaceae,salix,miyabeana,tree,perennial,northern japan,hemiptera,aphrophoridae,aphrophora,pectoralis,unclear,,no clue,unclear,natural field study/survey,figure 2,native,,no,a,,salix_miyabeana,aphrophora_pectoralis,number of,stem,length,m,x,sd,0.11474,0.058786227,5,0.10449,0.061626033,5,-0.153730041,0.401181646
effects of inbreeding in mimulus guttatus on tolerance to herbivory in naturalenvironments,phrymaceae,mimulus,guttatus,forb,annual,western north america,hemiptera,aphrophoridae,philaenus,spumarius,unclear,polyphagous,palearctic,larval,cage,figure 1,native,introduced,no,b,"4 populations, outcrosses and self-crosses ",mimulus_guttatus,philaenus_spumarius,biomass,stem,mass,g,x,sd,0,0.074953319,2,0.127,0.067882251,2,1.014910571,1.128755433
effects of inbreeding in mimulus guttatus on tolerance to herbivory in naturalenvironments,phrymaceae,mimulus,guttatus,forb,annual,western north america,hemiptera,aphrophoridae,philaenus,spumarius,unclear,polyphagous,palearctic,larval,cage,figure 1,native,introduced,no,b,"4 populations, outcrosses and self-crosses ",mimulus_guttatus,philaenus_spumarius,biomass,stem,mass,g,x,sd,0.127,0.10323759,2,0,0.062225397,2,-0.851427872,1.090616178
effects of inbreeding in mimulus guttatus on tolerance to herbivory in naturalenvironments,phrymaceae,mimulus,guttatus,forb,annual,western north america,hemiptera,aphrophoridae,philaenus,spumarius,unclear,polyphagous,palearctic,larval,cage,figure 1,native,introduced,no,b,"4 populations, outcrosses and self-crosses ",mimulus_guttatus,philaenus_spumarius,biomass,stem,mass,g,x,sd,3.236,4.727715939,2,1.265,3.447852665,2,-0.272209405,1.009262245
effects of inbreeding in mimulus guttatus on tolerance to herbivory in naturalenvironments,phrymaceae,mimulus,guttatus,forb,annual,western north america,hemiptera,aphrophoridae,philaenus,spumarius,unclear,polyphagous,palearctic,larval,cage,figure 1,native,introduced,no,b,"4 populations, outcrosses and self-crosses ",mimulus_guttatus,philaenus_spumarius,biomass,stem,mass,g,x,sd,3.63,5.017629719,2,3.28,4.852166733,2,-0.040521991,1.000205254
effects of inbreeding in mimulus guttatus on tolerance to herbivory in naturalenvironments,phrymaceae,mimulus,guttatus,forb,annual,western north america,hemiptera,aphrophoridae,philaenus,spumarius,unclear,polyphagous,palearctic,larval,cage,figure 1,native,introduced,no,b,"4 populations, outcrosses and self-crosses ",mimulus_guttatus,philaenus_spumarius,biomass,stem,mass,g,x,sd,0.993,0.673767764,3,0.584,0.540399852,3,-0.535747724,0.690585469
effects of inbreeding in mimulus guttatus on tolerance to herbivory in naturalenvironments,phrymaceae,mimulus,guttatus,forb,annual,western north america,hemiptera,aphrophoridae,philaenus,spumarius,unclear,polyphagous,palearctic,larval,cage,figure 1,native,introduced,no,b,"4 populations, outcrosses and self-crosses ",mimulus_guttatus,philaenus_spumarius,biomass,stem,mass,g,x,sd,0.195,0.202649944,3,0.312,0.370658873,3,0.313347682,0.674848897
effects of inbreeding in mimulus guttatus on tolerance to herbivory in naturalenvironments,phrymaceae,mimulus,guttatus,forb,annual,western north america,hemiptera,aphrophoridae,philaenus,spumarius,unclear,polyphagous,palearctic,larval,cage,figure 1,native,introduced,no,b,"4 populations, outcrosses and self-crosses ",mimulus_guttatus,philaenus_spumarius,biomass,stem,mass,g,x,sd,0.37,0.540399852,3,0.409,0.606217783,3,0.054331495,0.666912659
effects of inbreeding in mimulus guttatus on tolerance to herbivory in naturalenvironments,phrymaceae,mimulus,guttatus,forb,annual,western north america,hemiptera,aphrophoridae,philaenus,spumarius,unclear,polyphagous,palearctic,larval,cage,figure 1,native,introduced,no,b,"4 populations, outcrosses and self-crosses ",mimulus_guttatus,philaenus_spumarius,biomass,stem,mass,g,x,sd,0.643,0.571576766,3,0.604,0.606217783,3,-0.052957477,0.666900375
"direct and indirect effects of a shoot-base boring weevil and plant competition on the performance of creeping thistle, cirsium arvense",asteraceae,cirsium,arvense,forb,perennial,europe and northern asia,coleoptera,apionidae,apion,onopordi,both,monophagous,europe an northern asia,both,cage,table 3,native,native,yes,e,,cirsium_arvense,apion_onopordi,biomass,roots,mass,g,x,sd,17.11,7.19,10,11.51,4.61,5,-0.810105432,0.321875694
"direct and indirect effects of a shoot-base boring weevil and plant competition on the performance of creeping thistle, cirsium arvense",asteraceae,cirsium,arvense,forb,perennial,europe and northern asia,coleoptera,apionidae,apion,onopordi,both,monophagous,europe an northern asia,both,cage,table 3,native,native,yes,e,,cirsium_arvense,apion_onopordi,biomass,stem,mass,g,x,sd,28.31,4.84,10,27.71,5.91,5,-0.108748547,0.300394208
"direct and indirect effects of a shoot-base boring weevil and plant competition on the performance of creeping thistle, cirsium arvense",asteraceae,cirsium,arvense,forb,perennial,europe and northern asia,coleoptera,apionidae,apion,onopordi,both,monophagous,europe an northern asia,both,cage,table 3,native,native,yes,e,,cirsium_arvense,apion_onopordi,biomass,stem,mass,g,x,sd,12.23,2.47,9,11.72,3.42,19,-0.156777185,0.164181602
impact of apion ulicis forster on ulex europaeus l. seed dispersal,fabaceae,ulex,europaeus,shrub,perennial,"northern united kingdom south to galicia in spain and portugal, and from the western republic of ireland east to galicja in poland and ukraine",coleoptera,brentidae,exapion,ulicis,unclear,monophagous,western europe,adult,chemical,table 5,invasive,introduced,yes,d,,ulex_europaeus,exapion_ulicis,biomass,seed,mass,g,x,sd,0.0061,0.0012,12,0.0053,0.0012,12,-0.643678161,0.175298366
impact of apion ulicis forster on ulex europaeus l. seed dispersal,fabaceae,ulex,europaeus,shrub,perennial,"northern united kingdom south to galicia in spain and portugal, and from the western republic of ireland east to galicja in poland and ukraine",coleoptera,brentidae,exapion,ulicis,unclear,monophagous,western europe,adult,chemical,table 5,invasive,introduced,yes,d,,ulex_europaeus,exapion_ulicis,number of,seed,count,count,x,sd,12.9,26.9,12,7.5,2.7,12,-0.272734332,0.168216334
impact of apion ulicis forster on ulex europaeus l. seed dispersal,fabaceae,ulex,europaeus,shrub,perennial,"northern united kingdom south to galicia in spain and portugal, and from the western republic of ireland east to galicja in poland and ukraine",coleoptera,brentidae,exapion,ulicis,unclear,monophagous,western europe,adult,chemical,table 5,invasive,introduced,yes,d,,ulex_europaeus,exapion_ulicis,biomass,seed,mass,g,x,sd,0.0067,0.001,12,0.0065,0.0011,12,-0.183699887,0.167369701
"the effects of herbivory by a weevil species, acting alone and unrestrained by naturalenemies, on growth and phenology of the weed sesbania punicea",fabaceae,sesbania,punicea,shrub,perennial,"brazil, argentina, paraguay, and uruguay",coleoptera,brentidae,trichapion,lativentre,unclear,,argentina,unclear,natural field study/survey,table 2,invasive,introduced,yes,d,,sesbania_punicea,trichapion_lativentre,biomass,seed,mass,g,x,sd,0.0542,0.0117,3106,0.0591,0.0126,250,0.416248522,0.004347771
"the effects of herbivory by a weevil species, acting alone and unrestrained by naturalenemies, on growth and phenology of the weed sesbania punicea",fabaceae,sesbania,punicea,shrub,perennial,"brazil, argentina, paraguay, and uruguay",coleoptera,brentidae,trichapion,lativentre,unclear,,argentina,unclear,natural field study/survey,table 2,invasive,introduced,yes,d,,sesbania_punicea,trichapion_lativentre,number of,seed,count,count,x,sd,3.1,1.6,3106,3.2,1.6,250,0.062486023,0.004322539
"the effects of herbivory by a weevil species, acting alone and unrestrained by naturalenemies, on growth and phenology of the weed sesbania punicea",fabaceae,sesbania,punicea,shrub,perennial,"brazil, argentina, paraguay, and uruguay",coleoptera,brentidae,trichapion,lativentre,unclear,,argentina,unclear,natural field study/survey,table 2,invasive,introduced,yes,d,,sesbania_punicea,trichapion_lativentre,biomass,seed,mass,g,x,sd,0.0542,0.0117,3106,0.0598,0.0096,371,0.487077271,0.003051492
"the effects of herbivory by a weevil species, acting alone and unrestrained by naturalenemies, on growth and phenology of the weed sesbania punicea",fabaceae,sesbania,punicea,shrub,perennial,"brazil, argentina, paraguay, and uruguay",coleoptera,brentidae,trichapion,lativentre,unclear,,argentina,unclear,natural field study/survey,table 2,invasive,introduced,yes,d,,sesbania_punicea,trichapion_lativentre,number of,seed,count,count,x,sd,3.1,1.6,3106,3.6,1.8,371,0.308105944,0.003031026
does pre-dispersal seed predation limit reproduction and population growth in the alpine clonal plant geum reptans,rosaceae,geum,reptans,forb,perennial,central and southern europe,diptera,cecidomyiidae,geomyia,alpina,unclear,monophagous,"central and southern europe, at least",unclear,chemical,table 1,native,native,no,a,large plant,geum_reptans,geomyia_alpina,number of,stem,count,count,x,sd,1.15,1.297998459,13,1.9,4.300697618,10,0.242455504,0.178201005
does pre-dispersal seed predation limit reproduction and population growth in the alpine clonal plant geum reptans,rosaceae,geum,reptans,forb,perennial,central and southern europe,diptera,cecidomyiidae,geomyia,alpina,unclear,monophagous,"central and southern europe, at least",unclear,chemical,table 1,native,native,no,a,large plant,geum_reptans,geomyia_alpina,number of,flower,count,count,x,sd,3.08,3.208940635,13,2.5,2.308462692,10,-0.195605591,0.17775485
does pre-dispersal seed predation limit reproduction and population growth in the alpine clonal plant geum reptans,rosaceae,geum,reptans,forb,perennial,central and southern europe,diptera,cecidomyiidae,geomyia,alpina,unclear,monophagous,"central and southern europe, at least",unclear,chemical,table 1,native,native,no,a,small plant,geum_reptans,geomyia_alpina,number of,stem,count,count,x,sd,0.52,0.687386354,21,1.47,1.814166475,17,0.708090693,0.113039846
does pre-dispersal seed predation limit reproduction and population growth in the alpine clonal plant geum reptans,rosaceae,geum,reptans,forb,perennial,central and southern europe,diptera,cecidomyiidae,geomyia,alpina,unclear,monophagous,"central and southern europe, at least",unclear,chemical,table 1,native,native,no,a,small plant,geum_reptans,geomyia_alpina,number of,flower,count,count,x,sd,0.81,0.916515139,21,0.65,0.783390069,17,-0.182165333,0.106879211
physiological integration plays key role in cranberry (ericales: ericaceae) for tolerance of damage by dasineura oxycoccana (diptera: cecidomyiidae),ericaceae,vaccinium,macrocarpon,shrub,perennial,"central and eastern canada (ontario to newfoundland), and the northeastern and north-central united states (northeast, great lakes region, and appalachians as far south as north carolina and tennessee",diptera,cecidomyiidae,dasineura,oxycoccana,unclear,monophagous,eastern north america,unclear,natural field study/survey,figure 3,native,native,no,a,2 locations,vaccinium_macrocarpon,dasineura_oxycoccana,biomass,fruit,mass,g,x,sd,2.123,0.595682801,22,2.449,0.633206128,22,0.520786813,0.093991124
physiological integration plays key role in cranberry (ericales: ericaceae) for tolerance of damage by dasineura oxycoccana (diptera: cecidomyiidae),ericaceae,vaccinium,macrocarpon,shrub,perennial,"central and eastern canada (ontario to newfoundland), and the northeastern and north-central united states (northeast, great lakes region, and appalachians as far south as north carolina and tennessee",diptera,cecidomyiidae,dasineura,oxycoccana,unclear,monophagous,eastern north america,unclear,natural field study/survey,figure 3,native,native,no,a,2 locations,vaccinium_macrocarpon,dasineura_oxycoccana,biomass,fruit,mass,g,x,sd,2.974,0.820822758,22,3.388,0.853655668,22,0.485506096,0.093587684
does pre-dispersal seed predation limit reproduction and population growth in the alpine clonal plant geum reptans,rosaceae,geum,reptans,forb,perennial,central and southern europe,diptera,cecidomyiidae,geomyia,alpina,unclear,monophagous,"central and southern europe, at least",unclear,chemical,table 1,native,native,no,a,medium plant,geum_reptans,geomyia_alpina,number of,flower,count,count,x,sd,1.5,1.643167673,30,1.61,1.726006952,31,0.064418001,0.065625412
does pre-dispersal seed predation limit reproduction and population growth in the alpine clonal plant geum reptans,rosaceae,geum,reptans,forb,perennial,central and southern europe,diptera,cecidomyiidae,geomyia,alpina,unclear,monophagous,"central and southern europe, at least",unclear,chemical,table 1,native,native,no,a,medium plant,geum_reptans,geomyia_alpina,number of,stem,count,count,x,sd,1.07,1.259761882,30,1.13,1.336263447,31,0.045591862,0.065608436
galling by rhopalomyia solidaginis alters solidago altissima architecture and litter nutrient dynamics in an old-field ecosystem],asteraceae,solidago,altissima,forb,perennial,north america,diptera,cecidomyiideae,rhopalomyia,solidaginis,both,,us,both,,,native,native,no,a,natural field study,solidago_altissima,rhopalomyia_solidaginis,biomass,stem,mass,g,x,sd,8.852,5.084818581,20,14.242,7.074919081,20,0.857510479,0.109191553
galling by rhopalomyia solidaginis alters solidago altissima architecture and litter nutrient dynamics in an old-field ecosystem],asteraceae,solidago,altissima,forb,perennial,north america,diptera,cecidomyiideae,rhopalomyia,solidaginis,both,,us,both,,,native,native,no,a,natural field study,solidago_altissima,rhopalomyia_solidaginis,length,stem,length,m,x,sd,0.98901,0.147401601,20,1.07472,0.16215965,20,0.542134056,0.103673867
the effect of wood-boring beetles on the radial growth of prosopis flexuosa dc. in the arid chaco of argentina,fabaceae,prosopis,flexuosa,tree,perennial,argentina bolivia chile,coleoptera,cerambycidae,torneutes,pallidipennis,unclear,monophagous,argentina,unclear,,table 1,native,native,no,a,field study,prosopis_flexuosa,torneutes_pallidipennis,diameter,stem,diameter,m,x,sd,0.1384,0.04,15,0.1444,0.044,15,0.138838815,0.133654604
above-ground herbivory by red milkweed beetles facilitates above- and below-ground conspecific insects and reduces fruit production in common milkweed,apocynaceae,asclepias,syriaca,forb,perennial,"southern canada and of much of the conterminous eastern u.s., east of the rocky mountains",coleoptera,cerambycidae,tetraopes,tetrophthalmus,unclear,monophagous,north america,adult,cage,,native,native,no,a,,asclepias_syriaca,tetraopes_tetrophthalmus,number of,fruit,count,count,x,sd,2.356,1.900657781,20,1.337,1.448972049,20,-0.590988582,0.104365844
above-ground herbivory by red milkweed beetles facilitates above- and below-ground conspecific insects and reduces fruit production in common milkweed,apocynaceae,asclepias,syriaca,forb,perennial,"southern canada and of much of the conterminous eastern u.s., east of the rocky mountains",coleoptera,cerambycidae,tetraopes,tetrophthalmus,unclear,monophagous,north america,larval,cage,,native,native,no,a,,asclepias_syriaca,tetraopes_tetrophthalmus,number of,fruit,count,count,x,sd,2.356,1.900657781,20,2.604,1.923018461,20,0.127138741,0.100202053
